state,x,y
Andhra Pradesh,-58.0,-124.0
Arunachal Pradesh,258.0,133.0
Assam,228.0,79.0
Bihar,75.0,61.0
Chhattisgarh,5.0,-20.0
Goa,-174.0,-150.0
Gujarat,-206.0,17.0
Haryana,-102.0,147.0
Himachal Pradesh,-76.0,204.0
Jharkhand,66.0,15.0
Karnataka,-150.0,-161.0
Kerala,-131.0,-261.0
Madhya Pradesh,-78.0,23.0
Maharashtra,-140.0,-62.0
Manipur,247.0,43.0
Meghalaya,195.0,57.0
Mizoram,245.0,32.0
Nagaland,261.0,74.0
Odisha,69.0,-52.0
Punjab,-109.0,183.0
Rajasthan,-171.0,102.0
Sikkim,140.0,109.0
Tamil Nadu,-94.0,-245.0
Tripura,168.0,27.0
Uttar Pradesh,-30.0,99.0
Uttarakhand,-30.0,163.0
West Bengal,126.0,8.0